about|yourself,about
18,age
background|check,can_background_check
relocate,can_relocate
remotely,can_remote
current|company,current_company
current|title,current_title
education,education
github,github
contribution,github
hear,job_hear
linkedin,linkedin
built,project_link
build,project_link
project,project_link
salary,salary
compensation,salary
sponsorship,sponsorship_required
visa,sponsorship_required
stackoverflow,stackoverflow
website,website
site,website
authorized,work_authorized
authorization,work_authorized
eligible|work,work_authorized